Tarih,eurokuru,;
11-01-2019,6.22224,;
18-01-2019,6.21322,;
25-01-2019,6.05258,;
01-02-2019,6.02128,;
08-02-2019,5.9485,;
15-02-2019,5.94498,;
22-02-2019,5.99028,;
01-03-2019,6.03072,;
08-03-2019,6.09616,;
15-03-2019,6.13774,;
22-03-2019,6.19658,;
29-03-2019,6.22152,;
05-04-2019,6.29166,;
12-04-2019,6.3722,;
19-04-2019,6.53294,;
26-04-2019,6.55025,;
03-05-2019,6.64015,;
10-05-2019,6.8169,;
17-05-2019,6.79876,;
24-05-2019,6.7671,;
31-05-2019,6.72398,;
07-06-2019,6.532,;
14-06-2019,6.56508,;
21-06-2019,6.55834,;
28-06-2019,6.55722,;
05-07-2019,6.41068,;
12-07-2019,6.39138,;
19-07-2019,6.397925,;
26-07-2019,6.35036,;
02-08-2019,6.21708,;
09-08-2019,6.1718,;
16-08-2019,6.17445,;
23-08-2019,6.2723,;
30-08-2019,6.4302,;
06-09-2019,6.32552,;
13-09-2019,6.32428,;
20-09-2019,6.29512,;
27-09-2019,6.25146,;
04-10-2019,6.20272,;
11-10-2019,6.35918,;
18-10-2019,6.49468,;
25-10-2019,6.44286,;
01-11-2019,6.386975,;
08-11-2019,6.36524,;
15-11-2019,6.34728,;
22-11-2019,6.32166,;
29-11-2019,6.3189,;
06-12-2019,6.3448,;
13-12-2019,6.41614,;
20-12-2019,6.5284,;
27-12-2019,6.5741,;
