Date,Interest-rates,
2015-01,14.864,
2015-02,14.89,
2015-03,14.675,
2015-04,14.8375,
2015-05,15.43,
2015-06,15.675,
2015-07,15.702,
2015-08,16.045,
2015-09,16.9075,
2015-10,17.698,
2015-11,17.51,
2015-12,17.33,
2016-01,17.61,
2016-02,17.9425,
2016-03,18.0275,
2016-04,17.854,
2016-05,17.515,
2016-06,17.33,
2016-07,17.384,
2016-08,17.52,
2016-09,17.336,
2016-10,16.72,
2016-11,16.085,
2016-12,16.2,
2017-01,16.3575,
2017-02,16.72,
2017-03,16.62,
2017-04,16.8825,
2017-05,17.235,
2017-06,17.348,
2017-07,17.5425,
2017-08,17.905,
2017-09,18.164,
2017-10,18.5375,
2017-11,18.7925,
2017-12,19.356,
2018-01,20.015,
2018-02,20.1775,
2018-03,19.844,
2018-04,19.9775,
2018-05,20.1875,
2018-06,23.108,
2018-07,24.96,
2018-08,28.822,
2018-09,36.4075,
2018-10,38.72,
2018-11,36.098,
2018-12,33.585,
2019-01,30.8125,
2019-02,26.4175,
2019-03,23.512,
2019-04,25.935,
2019-05,29.022,
2019-06,29.1775,
2019-07,27.405,
2019-08,23.088,
2019-09,20.1725,
2019-10,18.3425,
2019-11,16.986,
2019-12,15.9825,
2020-01,15.19,
2020-02,14.3575,
2020-03,14.7275,
2020-04,12.3925,
2020-05,10.608,
2020-06,12.665,
2020-07,12.368,
2020-08,16.535,
2020-09,18.4825,
2020-10,19.502,
2020-11,21.0825,
